dt,Temperature (C),Turbidity (NTU),Dissolved Oxygen(g/ml),PH,Ammonia(g/ml),Nitrate(g/ml)
2021-06-19 00:00:00,24.875,100.0,6.182,8.42911,0.38,191.0
2021-06-19 00:15:00,24.875,100.0,6.939,8.43365,0.38,190.0
2021-06-19 00:30:00,24.8125,100.0,6.1445,8.43365,0.38,189.0
2021-06-19 00:45:00,24.8125,100.0,5.637,8.42911,0.38,189.0
2021-06-19 01:00:00,24.75,100.0,5.933,8.42911,0.38,195.0
2021-06-19 01:15:00,24.75,100.0,5.958,8.42911,0.38,193.0
2021-06-19 01:30:00,24.6875,100.0,6.2585,8.43138,0.38,197.0
2021-06-19 01:45:00,24.6875,100.0,5.303,8.42911,0.38,200.0
2021-06-19 02:00:00,24.6875,100.0,7.801,8.42911,0.38,194.0
2021-06-19 02:15:00,24.6875,100.0,5.341,8.42911,0.38,192.0
2021-06-19 02:30:00,24.625,100.0,5.519,8.43365,0.38,192.0
2021-06-19 02:45:00,24.625,100.0,5.823,8.42911,0.38,192.0
2021-06-19 03:00:00,24.5625,100.0,4.352,8.42911,0.38,192.0
2021-06-19 03:15:00,24.5625,100.0,6.6555,8.42911,0.38,192.0
2021-06-19 03:30:00,24.5625,100.0,5.7635000000000005,8.42911,0.38,192.0
2021-06-19 03:45:00,24.5,100.0,5.0705,8.42911,0.38,192.0
2021-06-19 04:00:00,24.5,100.0,8.887,8.42911,0.38,192.0
2021-06-19 04:15:00,24.5,100.0,4.086,8.42911,0.38,192.0
2021-06-19 04:30:00,24.5,100.0,5.054,8.42911,0.38,194.0
2021-06-19 04:45:00,24.4375,100.0,6.449,8.42911,0.38,193.0
2021-06-19 05:00:00,24.4375,100.0,5.417,8.42911,0.38,192.0
2021-06-19 05:15:00,24.4375,100.0,6.465,8.42911,0.38,193.0
2021-06-19 05:30:00,24.4375,100.0,4.8135,8.42457,0.38,192.0
2021-06-19 05:45:00,24.4375,100.0,4.9399999999999995,8.426839999999999,0.38,194.0
2021-06-19 06:00:00,24.375,100.0,3.934,8.42911,0.38,193.0
2021-06-19 06:15:00,24.375,100.0,2.823,8.42457,0.38,193.0
2021-06-19 06:30:00,24.375,100.0,4.843,8.42457,0.38,194.0
2021-06-19 06:45:00,24.375,100.0,5.122,8.42911,0.38,198.0
2021-06-19 07:00:00,24.375,100.0,4.2465,8.42911,0.38,205.0
2021-06-19 07:15:00,24.375,100.0,3.811,8.42457,0.38,206.0
2021-06-19 07:30:00,24.3125,100.0,4.674,8.42457,0.38,208.0
2021-06-19 07:45:00,24.3125,100.0,7.192,8.42003,0.38,205.0
2021-06-19 08:00:00,24.3125,100.0,4.344,8.41549,0.38,208.0
2021-06-19 08:15:00,24.375,100.0,4.454,8.41095,0.38,208.0
2021-06-19 08:30:00,24.375,100.0,5.633,8.41095,0.38,204.0
2021-06-19 08:45:00,24.375,100.0,4.564,8.41095,0.38,198.0
2021-06-19 09:00:00,24.4375,100.0,5.8565000000000005,8.40641,0.38,199.0
